county,score,source_page,url,text
Adams,9,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/general_election_day_2024_11_05/,General Election Day
Adams,9,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/general_election_day_2024_11_05/#ballots,Sample Ballot(s)
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/primary_election_day_2024_06_04/,Primary Election Day
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/primary_election_day_2024_06_04/#ballots,Sample Ballot(s)
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/adams_county_city_election_2017_11_07_65402.pdf,Official Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/adams_county_special_election_for_creston_and_lenox_school_districts_2020_03_03_56817.pdf,Unofficial Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/adams_county_special_election_supervisor_5th_district_2019_04_09_77938.pdf,Official Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/city_of_prescott_special_election_2019_07_23_41439.pdf,Official Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/corning_community_school_district_special_election_2023_03_07_32123.pdf,Official Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/creston_community_school_special_election_2022_03_01_87357.pdf,Official Results
Adams,3,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/files/election_results/special_election_2022_09_13_22134.pdf,Official Results
Adams,2,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/2022_general_election_2022_11_08/,2022 General Election
Adams,2,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/2022_general_election_2022_11_08/#ballots,Sample Ballot(s)
Adams,2,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/adams_county_general_election_2018_11_06/,Adams County General Election
Adams,2,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/adams_county_general_election_2020_11_03/,Adams County General Election
Adams,2,https://adamscounty.iowa.gov/auditor/election_results/,https://adamscounty.iowa.gov/elections/info/general_election_2026_11_03/,General Election
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/124196/,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/126082/,Official Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/106281/web.264614/#/summary,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/111397/web.278093/,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/112998/,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/115643/,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/118688/web.317647/#/summary?v=323002%2F,View Results
Adams,1,https://adamscounty.iowa.gov/auditor/election_results/,https://electionresults.iowa.gov/IA/Adams/121510/web.317647/#/summary?v=339346%2F,Official Results
